,Date,Time,Open,High,Low,Close,Volume
580,2020-04-13,11:31:00,153.74,153.79,153.55,153.59,879.39821
581,2020-04-13,11:32:00,153.57,153.73,153.54,153.6,217.92856
582,2020-04-13,11:33:00,153.6,153.83,153.6,153.8,452.52245
583,2020-04-13,11:34:00,153.82,154.0,153.8,153.92,1272.48233
584,2020-04-13,11:35:00,153.89,155.34,153.89,155.23,5959.9446
585,2020-04-13,11:36:00,155.24,156.02,154.89,155.89,8580.62912
586,2020-04-13,11:37:00,155.89,155.9,155.26,155.27,2886.89039
587,2020-04-13,11:38:00,155.27,155.5,155.03,155.5,2497.79464
588,2020-04-13,11:39:00,155.5,155.67,155.35,155.58,1186.35066
589,2020-04-13,11:40:00,155.6,156.49,155.59,156.36,4589.31573
590,2020-04-13,11:41:00,156.36,156.39,155.88,155.89,3648.34613
591,2020-04-13,11:42:00,155.88,156.32,155.77,156.26,2150.86436
592,2020-04-13,11:43:00,156.26,156.26,155.91,156.08,1910.79156
593,2020-04-13,11:44:00,156.13,156.24,155.45,155.63,1622.50921
594,2020-04-13,11:45:00,155.66,155.98,155.64,155.81,1072.26569
595,2020-04-13,11:46:00,155.82,155.85,155.29,155.46,1742.85879
596,2020-04-13,11:47:00,155.46,155.49,155.24,155.37,2730.90999
597,2020-04-13,11:48:00,155.35,155.75,155.3,155.71,1832.54823
598,2020-04-13,11:49:00,155.74,155.81,155.46,155.5,1533.09313
599,2020-04-13,11:50:00,155.5,155.73,155.42,155.72,1197.90522
600,2020-04-13,11:51:00,155.73,156.2,155.62,156.12,2762.37516
601,2020-04-13,11:52:00,156.15,156.5,156.06,156.07,1466.99855
602,2020-04-13,11:53:00,156.06,156.29,156.04,156.21,792.84077
603,2020-04-13,11:54:00,156.22,156.37,156.0,156.02,1471.13476
604,2020-04-13,11:55:00,156.03,156.33,155.98,156.01,927.63301
605,2020-04-13,11:56:00,156.05,156.12,155.71,155.78,1238.14657
606,2020-04-13,11:57:00,155.78,155.97,155.52,155.95,704.05838
607,2020-04-13,11:58:00,155.93,156.03,155.66,155.66,373.79733
608,2020-04-13,11:59:00,155.69,155.87,155.22,155.27,1740.42084
609,2020-04-13,12:00:00,155.22,155.31,153.65,153.69,6000.25944
610,2020-04-13,12:01:00,153.77,154.17,153.37,154.1,4355.37901
611,2020-04-13,12:02:00,154.17,154.27,153.49,153.5,2379.62446
612,2020-04-13,12:03:00,153.54,153.68,153.04,153.36,2785.6493
613,2020-04-13,12:04:00,153.34,153.34,152.45,152.89,4562.60334
614,2020-04-13,12:05:00,152.87,153.25,152.81,152.82,1155.78708
615,2020-04-13,12:06:00,152.82,153.1,152.67,153.07,1066.13589
616,2020-04-13,12:07:00,153.05,153.47,153.01,153.2,1389.37236
617,2020-04-13,12:08:00,153.21,153.49,153.2,153.4,494.50447
618,2020-04-13,12:09:00,153.41,153.78,153.41,153.59,1158.32813
619,2020-04-13,12:10:00,153.59,153.59,153.2,153.28,1003.22478
620,2020-04-13,12:11:00,153.29,153.5,153.26,153.5,230.82587
621,2020-04-13,12:12:00,153.48,153.66,153.36,153.37,494.16036
622,2020-04-13,12:13:00,153.37,153.4,153.08,153.29,1007.11325
623,2020-04-13,12:14:00,153.28,153.37,152.93,152.98,720.00861
624,2020-04-13,12:15:00,152.98,153.0,152.62,152.84,1128.90273
625,2020-04-13,12:16:00,152.78,153.22,152.78,153.17,776.91399
626,2020-04-13,12:17:00,153.16,153.26,153.09,153.26,412.51979
627,2020-04-13,12:18:00,153.25,153.37,153.06,153.17,527.71415
628,2020-04-13,12:19:00,153.2,153.21,153.06,153.07,292.62613
629,2020-04-13,12:20:00,153.08,153.38,153.05,153.14,693.03443
630,2020-04-13,12:21:00,153.13,153.33,153.11,153.26,510.54757
631,2020-04-13,12:22:00,153.23,153.25,153.0,153.08,868.50974
632,2020-04-13,12:23:00,153.08,153.13,153.02,153.05,577.28941
633,2020-04-13,12:24:00,153.05,153.08,152.75,152.78,506.21143
634,2020-04-13,12:25:00,152.81,152.81,152.61,152.66,308.13136
635,2020-04-13,12:26:00,152.61,152.74,151.95,152.09,3722.85912
636,2020-04-13,12:27:00,152.11,152.6,152.11,152.4,704.85138
637,2020-04-13,12:28:00,152.38,152.39,152.1,152.23,511.93881
638,2020-04-13,12:29:00,152.24,152.59,152.2,152.58,1197.43298
639,2020-04-13,12:30:00,152.58,152.58,152.21,152.22,427.679
640,2020-04-13,12:31:00,152.22,152.6,152.19,152.56,838.02829
641,2020-04-13,12:32:00,152.56,152.73,152.56,152.67,984.61625
